name,position
Anahit Avanesyan,Minister of Health
Andranik Piloyan,Minister of Emergency Situations
Ararat Mirzoyan,Minister of Foreign Affairs
Gnel Sanosyan,Minister of Territorial Administration and Infrastructures
Hakob Simidyan,Minister of Environment
Karen Andreasyan,Minister of Justice
Narek Mkrtchyan,Minister of Labor and Social Affairs
Suren Papikyan,Minister of Defense
Tigran Khachatryan,Minister of Finance
Vahagn Khachaturyan,Minister of High-Tech Industry
Vahan Kerobyan,Minister of Economy
Vahram Dumanyan,"Minister of Education, Science, Culture and Sport"
