wdid,name,wdLabel,gender,dob,dobPrecision,source,pid,position,psid
Q87244322,Anahit Avanesyan,Anahit Avanesian,female,1981-03-21T00:00:00Z,11,https://www.gov.am/en/gov-members/,Q108315286,Minister of Health,Q87244322-189BDC8F-47D7-4E86-A798-88323289D98E
Q100691234,Andranik Piloyan,Andranik Piloyan,male,1962-01-01T00:00:00Z,9,https://www.gov.am/en/gov-members/,Q108315415,Minister of Emergency Situations,Q100691234-C9625747-AEF5-4902-8BF3-2D81777C4AE6
Q31196321,Ararat Mirzoyan,Ararat Mirzoyan,male,1979-11-23T00:00:00Z,11,https://www.gov.am/en/gov-members/,Q20517766,Minister of Foreign Affairs,Q31196321-374C4078-302A-402F-8CB2-E172EB8556CA
Q107605738,Arshak Karapetyan,Arshak Karapetyan,male,1967-02-06T00:00:00Z,11,https://www.gov.am/en/gov-members/,Q19966859,Minister of Defense,Q107605738-906F0B95-8EE0-4710-95ED-7F7E9646DB05
Q57269722,Gnel Sanosyan,Gnel Sanosyan,male,1983-10-01T00:00:00Z,10,https://www.gov.am/en/gov-members/,Q108315714,Minister of Territorial Administration and Infrastructures,Q57269722-0C9D64B7-E0C3-4F21-8581-D10D9452A5C6
Q6369479,Karen Andreasyan,Karen Andreasyan,male,1977-09-10T00:00:00Z,11,https://www.gov.am/en/gov-members/,Q20517763,Minister of Justice,Q6369479-58A0D238-89DD-42D9-B82D-ABD4FF3D3135
Q63762730,Narek Mkrtchyan,Narek Mkrtchyan,male,1989-06-20T00:00:00Z,11,https://www.gov.am/en/gov-members/,Q108315265,Minister of Labor and Social Affairs,Q63762730-DDC9428F-45B6-463C-B6A1-A685A77612FA
Q56121104,Romanos Petrosyan,Romanos Petrosyan,male,1979-08-26T00:00:00Z,11,https://www.gov.am/en/gov-members/,Q108315673,Minister of Environment,Q56121104-01246B94-27BA-43A4-93DE-C6012E1EDB05
Q108315666,Tigran Khachatryan,Tigran Khachatryan,male,1970-12-11T00:00:00Z,11,https://www.gov.am/en/gov-members/,Q20517836,Minister of Finance,Q108315666-A85068C5-EDFA-401D-99C3-EA5449EC506E
Q3553274,Vahagn Khachaturyan,Vahagn Khachatryan,male,1959-04-22T00:00:00Z,11,https://www.gov.am/en/gov-members/,Q108315247,Minister of High-Tech Industry,Q3553274-E5B19DE4-51FA-43D3-B603-3C9B68BAFCFF
Q108315659,Vahan Kerobyan,Vahan Kerobyan,male,1976-10-01T00:00:00Z,11,https://www.gov.am/en/gov-members/,Q56762129,Minister of Economy,Q108315659-EF0D9199-F374-483A-883F-58BF03C03677
Q108315645,Vahram Dumanyan,Vahram Dumanyan,male,1962-09-09T00:00:00Z,11,https://www.gov.am/en/gov-members/,Q20517801,"Minister of Education, Science, Culture and Sport",Q108315645-F7116CBD-435E-48AC-8E5B-81AD1692BB05
