@@,itemlabel,item,startdate,enddate
+++,Hovhannes Ghorghanyan,,1879-10,1884-09
+++,Barsegh Gueghanyan,,1884-09,1893-12
+++,Levon Tigranyants,,1894-01,1895-06
+++,Aram Bounyatyan,,1895-11,1896-10
+++,Vahan Ter-Sarkayan,,1896-10,1898-11
+++,Isahak Melik-Aghamalyan,,1898-11,1904-03
+++,Hovhannes Melik-Aghamalian,,1904-03,1910-12
+++,Hovsep Tigranov,,1911-01,1912-03
+++,Hovhannes Melik-Aghamalyan,,1912-02,1914-12
+++,Smbat Khachaturyants,,1915-02,1917-12
+++,Tadevos Toshyan,,1917-11-20,1918-12-25
+++,Mkrtich Mussinyants,,1919-01-09,1920-11-27
+++,Hrant Tavakyalian,,1920-12-04,1921-02-25
+++,Kevork Sarksyan,,1921-04-07,1921-04-26
+++,Benyamin Sahakian,,1921-04-26,1921-05-26
+++,Ruben Safrazpekian,,1921-05-26,1922-04-10
+++,Hayk Azatian,,1922-01-03,1922-02-25
+++,Suren Shadunts,Q4519387,1922-05-05,1922-07-29
+++,Arakel Avakian,,1922-07-07,1923-06-11
+++,Aram Chakheltian,,1923-10-13,1924-08-12
+++,Aram Kostanian,,1924-11-24,1928-01-30
+++,Vartan Mamikonian,,1928-02-29,1928-06-07
+++,Kevork Hanessoghlian,,1928-06-07,1930-05-05
+++,Sergei Mardvian,,1930-08-04,1931-01-04
+++,Assadour Asriyan,,1931-01-04,1931-12-13
+++,Aramais Erzinkyan,,1931-12-13,1933-03-01
+++,Karapet Matinian,,1933-03-18,1936-08-01
+++,Gevorg Hanessoghlian,,1936-08-01,1936-11-15
+++,Alexander Shahsuvarian,,1937-01-29,1937-09-01
+++,Levon Hovsepian,,1937-10-02,1938-12-17
+++,Soghomon Varapetian,,1938-12-17,1940-01-02
+++,Sarkis Kamalian,,1940-01-09,1943-05-19
+++,Zaven Tchartchian,,1943-05-20,1944-09-04
+++,Ashot Ghakarian,,1944-09-04,1945-04-02
+++,Levon Hovsepian,,1945-04-30,1947-03-30
+++,Yeghishe Vartanian,,1947-03-30,1952-05-09
+++,Vazrik Sekoyan,,1952-05-10,1954-04-13
+++,Papken Asdvadzadrian,,1954-04-14,1955-03-31
+++,Gurgen Tcholakhian,,1955-04-06,1957-06-01
+++,Gurgen Pahlevanian,,1957-06-02,1960-03-21
->,Souren Vardanyan->Souren Vartanian,Q55651151->NULL,1960-03-22,1962-12-06
+++,Grigor Hasratian,,1962-12-17,1975-02-12
+++,Hrant Enkitarian,,1975-03-18,1975-04-28
->,Mourad Mouradian->Murad Muradian,Q3326114->NULL,1975-05-01,1985-12-09
+++,Eduard Avakian,,1985-12-10,1989-10-09
+++,Artashes Geghamyan,Q2383515,1989-11-10,1990-10-02
->,Hambartsoum Galstian->Hambardzum Galstyan,Q3126354,1990-12-04,1992-12-22
+++,Ashot Mirzoyan,,1996-02-23,1996-11-07
->,Suren Abrahamyan,Q3505201->NULL,1998-05-01->1998-05-06,1999-06-15
->,Karen Karapetyan,Q1979923,2010-12-17,2011-11-15->2011-11
->,Kamo Areyan,Q4069098,2018-07-09,2018-10-10->2018-10-13
